age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
47499,Young Adult,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Standard Full-time Work,United-States,<=50K
44141,Middle-aged Adult,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
16562,Adult,Private,Preschool,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,Standard Full-time Work,Mexico,<=50K
42412,Adult,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,Extended Work Hours,United-States,>50K
6296,Teen,Private,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
20077,Young Adult,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,<=50K
41748,Young Adult,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,Standard Full-time Work,United-States,>50K
5298,Young Adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,Reduced Full-time Work,United-States,<=50K
1563,Middle-aged Adult,Private,7th-8th,Married-civ-spouse,Protective-serv,Husband,White,Male,Standard Full-time Work,United-States,<=50K
47224,Middle-aged Adult,Private,12th,Divorced,Priv-house-serv,Unmarried,Black,Female,Reduced Full-time Work,United-States,<=50K
17833,Adult,Private,Assoc-acdm,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,Extended Work Hours,United-States,<=50K
16135,Teen,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Black,Female,Standard Full-time Work,United-States,<=50K
14181,Young Adult,Private,Masters,Never-married,Adm-clerical,Not-in-family,White,Female,Extended Work Hours,United-States,<=50K
10287,Elderly,Self-emp-not-inc,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,<=50K
18389,Teen,Local-gov,11th,Never-married,Prof-specialty,Own-child,White,Female,Standard Full-time Work,United-States,<=50K
18060,Middle-aged Adult,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,Extended Work Hours,United-States,<=50K
33417,Adult,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Black,Male,Reduced Full-time Work,United-States,>50K
40729,Young Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Extended Work Hours,United-States,>50K
43965,Teen,Private,10th,Divorced,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,Standard Full-time Work,United-States,<=50K
46614,Adult,State-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,Standard Full-time Work,United-States,<=50K
44342,Young Adult,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,Extended Work Hours,United-States,<=50K
31743,Adult,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Black,Male,Standard Full-time Work,United-States,>50K
31118,Middle-aged Adult,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,Standard Full-time Work,Germany,<=50K
38251,Elderly,State-gov,7th-8th,Widowed,Other-service,Unmarried,Black,Female,Standard Full-time Work,United-States,<=50K
8951,Adult,Private,Some-college,Never-married,Exec-managerial,Unmarried,White,Female,Standard Full-time Work,United-States,<=50K
24371,Middle-aged Adult,Private,10th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Overtime Work,United-States,<=50K
31116,Adult,Private,9th,Divorced,Exec-managerial,Unmarried,White,Female,Standard Full-time Work,United-States,<=50K
7460,Middle-aged Adult,Local-gov,Masters,Married-civ-spouse,Adm-clerical,Husband,White,Male,Standard Full-time Work,United-States,>50K
41917,Young Adult,Private,1st-4th,Married-civ-spouse,Farming-fishing,Husband,White,Male,Standard Full-time Work,Mexico,<=50K
7188,Teen,Private,Some-college,Never-married,Sales,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
40326,Young Adult,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Standard Full-time Work,United-States,>50K
13963,Elderly,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,>50K
20259,Middle-aged Adult,Local-gov,HS-grad,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,Standard Full-time Work,United-States,<=50K
3842,Middle-aged Adult,Federal-gov,Some-college,Divorced,Adm-clerical,Unmarried,Black,Female,Standard Full-time Work,United-States,<=50K
24085,Young Adult,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Male,Reduced Full-time Work,United-States,<=50K
9965,Young Adult,Private,Some-college,Married-civ-spouse,Other-service,Wife,Amer-Indian-Eskimo,Female,Standard Full-time Work,United-States,<=50K
6474,Adult,Private,HS-grad,Separated,Prof-specialty,Unmarried,White,Female,Reduced Full-time Work,United-States,<=50K
48782,Middle-aged Adult,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,Overtime Work,United-States,<=50K
17570,Adult,Private,Bachelors,Divorced,Tech-support,Unmarried,White,Female,Reduced Full-time Work,United-States,<=50K
11502,Young Adult,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,Overtime Work,United-States,<=50K
2935,Adult,Local-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,Extended Work Hours,United-States,<=50K
7567,Teen,Private,10th,Never-married,Craft-repair,Unmarried,White,Male,Standard Full-time Work,United-States,<=50K
32762,Young Adult,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Extended Work Hours,United-States,<=50K
7542,Teen,Private,11th,Never-married,Handlers-cleaners,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
35837,Young Adult,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,Standard Full-time Work,United-States,<=50K
33753,Teen,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
18128,Adult,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
42171,Teen,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
32340,Elderly,Self-emp-not-inc,Masters,Widowed,Sales,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
33779,Adult,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,Overtime Work,United-States,>50K
11207,Middle-aged Adult,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,<=50K
15885,Adult,Private,HS-grad,Married-civ-spouse,Tech-support,Wife,White,Female,Standard Full-time Work,United-States,<=50K
8212,Young Adult,Private,Some-college,Divorced,Exec-managerial,Unmarried,White,Female,Standard Full-time Work,United-States,<=50K
1222,Middle-aged Adult,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,<=50K
16883,Young Adult,Private,HS-grad,Never-married,Craft-repair,Unmarried,White,Female,Standard Full-time Work,United-States,<=50K
26048,Young Adult,Private,Some-college,Never-married,Other-service,Own-child,White,Female,Standard Full-time Work,United-States,<=50K
35230,Elderly,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,Part-time Work,United-States,>50K
48257,Adult,Private,10th,Married-civ-spouse,Transport-moving,Husband,White,Male,Heavy Overtime,United-States,<=50K
47974,Teen,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
8033,Young Adult,Private,Some-college,Divorced,Prof-specialty,Unmarried,White,Female,Reduced Full-time Work,United-States,<=50K
10520,Young Adult,Local-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,Reduced Full-time Work,United-States,<=50K
41223,Teen,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Female,Extended Work Hours,United-States,<=50K
37899,Teen,Private,11th,Never-married,Sales,Own-child,White,Female,Part-time Work,United-States,<=50K
2515,Young Adult,Private,11th,Never-married,Handlers-cleaners,Other-relative,Black,Male,Standard Full-time Work,United-States,<=50K
3787,Young Adult,Private,Some-college,Married-AF-spouse,Protective-serv,Husband,White,Male,Standard Full-time Work,United-States,<=50K
23861,Young Adult,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Extended Work Hours,United-States,<=50K
12941,Teen,Private,11th,Never-married,Sales,Own-child,White,Female,Extended Work Hours,United-States,<=50K
31035,Young Adult,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Extended Work Hours,United-States,<=50K
2544,Teen,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
19402,Young Adult,Private,HS-grad,Separated,Other-service,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
18863,Adult,State-gov,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,Standard Full-time Work,United-States,<=50K
29277,Adult,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,Reduced Full-time Work,United-States,<=50K
47750,Elderly,Private,HS-grad,Widowed,Other-service,Not-in-family,White,Female,Part-time Work,United-States,<=50K
17167,Adult,Local-gov,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,Standard Full-time Work,United-States,<=50K
18551,Adult,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,Standard Full-time Work,United-States,<=50K
26611,Adult,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
18522,Middle-aged Adult,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,<=50K
11961,Adult,Self-emp-not-inc,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,Standard Full-time Work,United-States,>50K
48634,Young Adult,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,Extended Work Hours,Canada,>50K
26830,Middle-aged Adult,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,<=50K
6850,Adult,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,>50K
4734,Teen,Private,Assoc-voc,Never-married,Other-service,Other-relative,White,Female,Standard Full-time Work,Mexico,<=50K
26928,Elderly,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Black,Male,Reduced Full-time Work,United-States,<=50K
18778,Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,>50K
13772,Middle-aged Adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Part-time Work,United-States,<=50K
181,Adult,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
42719,Young Adult,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,Extended Work Hours,United-States,<=50K
5952,Young Adult,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
9873,Adult,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,>50K
21488,Teen,Private,Some-college,Never-married,Tech-support,Not-in-family,White,Female,Part-time Work,Canada,<=50K
38351,Adult,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Extended Work Hours,United-States,>50K
5981,Adult,Local-gov,HS-grad,Divorced,Transport-moving,Own-child,White,Male,Reduced Full-time Work,United-States,<=50K
1567,Young Adult,Private,11th,Never-married,Other-service,Not-in-family,Black,Male,Standard Full-time Work,United-States,<=50K
24791,Elderly,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,Reduced Full-time Work,United-States,<=50K
18299,Young Adult,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
48744,Adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Own-child,White,Female,Part-time Work,United-States,<=50K
41217,Young Adult,Local-gov,Assoc-voc,Divorced,Transport-moving,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
21692,Young Adult,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
19110,Adult,Private,Some-college,Married-spouse-absent,Sales,Unmarried,Black,Female,Standard Full-time Work,United-States,<=50K
46114,Young Adult,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,Standard Full-time Work,United-States,>50K
20387,Young Adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Extended Work Hours,United-States,>50K
35930,Young Adult,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
37335,Middle-aged Adult,Private,1st-4th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Standard Full-time Work,Mexico,<=50K
7276,Young Adult,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,Overtime Work,United-States,<=50K
41149,Young Adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,Overtime Work,United-States,<=50K
26047,Adult,State-gov,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,Standard Full-time Work,United-States,>50K
28755,Adult,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,Extended Work Hours,United-States,>50K
41621,Adult,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,Reduced Full-time Work,United-States,<=50K
26985,Adult,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,>50K
42722,Adult,Private,HS-grad,Never-married,Other-service,Unmarried,Black,Male,Standard Full-time Work,United-States,<=50K
26761,Teen,Private,11th,Never-married,Other-service,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
38412,Young Adult,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,Black,Female,Standard Full-time Work,United-States,<=50K
28279,Young Adult,Federal-gov,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,Extended Work Hours,United-States,<=50K
4212,Middle-aged Adult,Private,7th-8th,Never-married,Prof-specialty,Not-in-family,White,Female,Reduced Full-time Work,United-States,<=50K
27542,Adult,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
12468,Young Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Overtime Work,United-States,>50K
21510,Adult,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,Extended Work Hours,United-States,>50K
20562,Adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,Reduced Full-time Work,United-States,<=50K
3041,Young Adult,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,Part-time Work,United-States,<=50K
35320,Teen,Private,Some-college,Never-married,Machine-op-inspct,Other-relative,Black,Male,Reduced Full-time Work,United-States,<=50K
7952,Adult,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,Black,Female,Standard Full-time Work,United-States,<=50K
10263,Adult,Private,Some-college,Separated,Exec-managerial,Not-in-family,White,Male,Standard Full-time Work,England,<=50K
11091,Adult,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,Standard Full-time Work,United-States,>50K
3671,Elderly,Self-emp-not-inc,11th,Married-civ-spouse,Exec-managerial,Husband,White,Male,Reduced Full-time Work,United-States,<=50K
30195,Young Adult,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,Standard Full-time Work,Italy,<=50K
14133,Young Adult,Private,HS-grad,Divorced,Other-service,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
14974,Young Adult,Private,HS-grad,Never-married,Other-service,Own-child,Black,Female,Reduced Full-time Work,Jamaica,<=50K
16002,Adult,Private,Bachelors,Divorced,Exec-managerial,Unmarried,White,Female,Standard Full-time Work,United-States,<=50K
32070,Teen,Private,HS-grad,Never-married,Prof-specialty,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
45627,Elderly,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,Reduced Full-time Work,Cuba,<=50K
30719,Adult,Private,10th,Divorced,Craft-repair,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
20456,Adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,Overtime Work,United-States,>50K
14968,Adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,Standard Full-time Work,United-States,>50K
46478,Adult,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,Standard Full-time Work,United-States,>50K
25883,Young Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Heavy Overtime,United-States,<=50K
20916,Teen,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
5502,Young Adult,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
32092,Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,>50K
47541,Adult,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,Extended Work Hours,United-States,>50K
45026,Young Adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Standard Full-time Work,United-States,<=50K
15001,Adult,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,Standard Full-time Work,United-States,>50K
17215,Adult,Private,HS-grad,Never-married,Adm-clerical,Unmarried,White,Female,Overtime Work,United-States,<=50K
35445,Young Adult,Private,5th-6th,Never-married,Other-service,Other-relative,White,Male,Reduced Full-time Work,Mexico,<=50K
23228,Adult,Private,9th,Divorced,Prof-specialty,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
587,Teen,Private,11th,Never-married,Other-service,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
3660,Middle-aged Adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,Overtime Work,United-States,<=50K
34607,Young Adult,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
26641,Middle-aged Adult,Self-emp-not-inc,Prof-school,Divorced,Prof-specialty,Not-in-family,White,Female,Reduced Full-time Work,United-States,<=50K
19209,Teen,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
16355,Young Adult,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
4995,Adult,Private,5th-6th,Never-married,Machine-op-inspct,Unmarried,White,Female,Standard Full-time Work,Mexico,<=50K
42701,Middle-aged Adult,State-gov,Masters,Never-married,Adm-clerical,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
9353,Teen,Private,12th,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,Reduced Full-time Work,Germany,<=50K
34053,Adult,Private,HS-grad,Never-married,Other-service,Own-child,Black,Female,Standard Full-time Work,United-States,<=50K
17891,Teen,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
11494,Adult,Federal-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,Overtime Work,United-States,>50K
18165,Teen,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
15250,Middle-aged Adult,Private,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,Standard Full-time Work,United-States,>50K
28624,Young Adult,Local-gov,Some-college,Never-married,Protective-serv,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
46495,Young Adult,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
35403,Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,<=50K
16086,Middle-aged Adult,Private,12th,Married-civ-spouse,Adm-clerical,Wife,White,Female,Standard Full-time Work,United-States,<=50K
35253,Teen,Private,HS-grad,Never-married,Sales,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
19081,Teen,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,Part-time Work,United-States,<=50K
12380,Teen,Private,Some-college,Never-married,Sales,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
46131,Teen,Private,HS-grad,Never-married,Handlers-cleaners,Unmarried,White,Male,Standard Full-time Work,United-States,<=50K
43235,Middle-aged Adult,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Standard Full-time Work,United-States,<=50K
16442,Teen,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,Overtime Work,England,<=50K
14443,Young Adult,State-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,Standard Full-time Work,United-States,<=50K
13199,Middle-aged Adult,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Standard Full-time Work,United-States,>50K
19512,Adult,Private,Some-college,Widowed,Other-service,Unmarried,Black,Female,Standard Full-time Work,United-States,<=50K
45559,Young Adult,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
22472,Teen,Private,Bachelors,Never-married,Prof-specialty,Own-child,Black,Female,Extended Work Hours,United-States,<=50K
41694,Young Adult,Self-emp-not-inc,Some-college,Never-married,Farming-fishing,Not-in-family,White,Male,Reduced Full-time Work,United-States,<=50K
643,Adult,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,Extended Work Hours,United-States,>50K
11855,Teen,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
11011,Adult,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,Standard Full-time Work,United-States,<=50K
41881,Middle-aged Adult,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,Reduced Full-time Work,United-States,<=50K
22322,Adult,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Standard Full-time Work,United-States,<=50K
31640,Teen,Self-emp-inc,HS-grad,Never-married,Transport-moving,Own-child,White,Male,Overtime Work,United-States,<=50K
42556,Elderly,Self-emp-not-inc,Bachelors,Divorced,Sales,Not-in-family,White,Male,Reduced Full-time Work,United-States,<=50K
35971,Teen,Federal-gov,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
40243,Middle-aged Adult,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Reduced Full-time Work,United-States,<=50K
11800,Young Adult,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,>50K
15989,Teen,Private,Some-college,Never-married,Other-service,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
40837,Adult,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,>50K
42678,Adult,Self-emp-not-inc,HS-grad,Separated,Farming-fishing,Not-in-family,White,Male,Extended Work Hours,United-States,<=50K
46664,Adult,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,Extended Work Hours,United-States,<=50K
26236,Young Adult,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,Extended Work Hours,United-States,>50K
31757,Young Adult,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,Reduced Full-time Work,Japan,<=50K
24242,Teen,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
8839,Adult,Private,9th,Divorced,Handlers-cleaners,Unmarried,White,Female,Standard Full-time Work,United-States,<=50K
17758,Adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Standard Full-time Work,United-States,>50K
45747,Adult,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Wife,Black,Female,Heavy Overtime,United-States,<=50K
24769,Teen,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,Reduced Full-time Work,United-States,<=50K
1566,Young Adult,Private,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,Standard Full-time Work,United-States,<=50K
31602,Teen,Private,Assoc-acdm,Never-married,Handlers-cleaners,Own-child,White,Male,Reduced Full-time Work,United-States,<=50K
31693,Adult,Private,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,Standard Full-time Work,United-States,<=50K
2736,Adult,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,Standard Full-time Work,United-States,>50K
11179,Teen,Local-gov,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
3104,Young Adult,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,Standard Full-time Work,United-States,<=50K
6489,Teen,Private,HS-grad,Never-married,Sales,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
24408,Adult,Private,Bachelors,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Female,Reduced Full-time Work,United-States,<=50K
23105,Middle-aged Adult,Federal-gov,Assoc-voc,Never-married,Tech-support,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
31309,Adult,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
45948,Young Adult,Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,Black,Male,Standard Full-time Work,United-States,<=50K
27172,Middle-aged Adult,Self-emp-not-inc,HS-grad,Separated,Other-service,Unmarried,White,Female,Reduced Full-time Work,United-States,<=50K
19010,Teen,Federal-gov,Some-college,Never-married,Tech-support,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
16511,Teen,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Overtime Work,United-States,<=50K
33335,Adult,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Reduced Full-time Work,United-States,<=50K
14830,Middle-aged Adult,Self-emp-inc,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,Part-time Work,United-States,>50K
23261,Middle-aged Adult,Private,9th,Married-civ-spouse,Sales,Husband,White,Male,Standard Full-time Work,United-States,<=50K
6227,Middle-aged Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Extended Work Hours,United-States,>50K
12286,Young Adult,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,Extended Work Hours,United-States,>50K
46256,Young Adult,Local-gov,HS-grad,Never-married,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,Standard Full-time Work,United-States,<=50K
40347,Elderly,Local-gov,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,Reduced Full-time Work,United-States,<=50K
359,Young Adult,Self-emp-not-inc,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,Portugal,<=50K
25662,Middle-aged Adult,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,Black,Male,Standard Full-time Work,India,<=50K
20945,Teen,Private,11th,Never-married,Adm-clerical,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
15735,Adult,Federal-gov,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
9708,Teen,Private,HS-grad,Never-married,Prof-specialty,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
20338,Middle-aged Adult,Local-gov,HS-grad,Widowed,Other-service,Not-in-family,White,Female,Reduced Full-time Work,United-States,<=50K
44398,Elderly,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,>50K
40651,Young Adult,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
